cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
simon32_64,cpu,cpu_baseline,2,4,1.36333e-06,2.93399e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,2,4,4.9248e-06,812216,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,2,4,5.7088e-06,700673,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,2,4,5.408e-06,739645,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,3,8,1.18667e-06,6.74157e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,3,8,5.3216e-06,1.50331e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,3,8,5.0048e-06,1.59847e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,3,8,5.12e-06,1.5625e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,4,16,2.19667e-06,7.28376e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,4,16,5.1264e-06,3.1211e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,4,16,5.1104e-06,3.13087e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,4,16,5.3216e-06,3.00661e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,5,32,4.34333e-06,7.36761e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,5,32,5.3024e-06,6.035e+06,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,5,32,5.3024e-06,6.035e+06,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,5,32,5.3152e-06,6.02047e+06,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,6,64,8.61e-06,7.43322e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,6,64,5.104e-06,1.25392e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,6,64,5.1936e-06,1.23229e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,6,64,5.5104e-06,1.16144e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,7,128,1.727e-05,7.4117e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,7,128,5.2224e-06,2.45098e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,7,128,5.1264e-06,2.49688e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,7,128,8.4896e-06,1.50773e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,8,256,3.45503e-05,7.40948e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,8,256,5.648e-06,4.53258e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,8,256,5.6256e-06,4.55063e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,8,256,5.8304e-06,4.39078e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,9,512,6.9027e-05,7.41739e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,9,512,7.0656e-06,7.24638e+07,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,9,512,6.9536e-06,7.36309e+07,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,9,512,7.2736e-06,7.03916e+07,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,10,1024,0.000141234,7.2504e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,10,1024,6.9568e-06,1.47194e+08,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,10,1024,7.0496e-06,1.45256e+08,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,10,1024,7.0816e-06,1.446e+08,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,11,2048,0.000279341,7.33154e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,11,2048,6.9504e-06,2.94659e+08,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,11,2048,7.1648e-06,2.85842e+08,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,11,2048,7.2288e-06,2.83311e+08,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,12,4096,0.000560122,7.31269e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,12,4096,7.0624e-06,5.79973e+08,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,12,4096,6.8448e-06,5.9841e+08,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,12,4096,7.0592e-06,5.80236e+08,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,13,8192,0.00111226,7.36516e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,13,8192,7.024e-06,1.16629e+09,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,13,8192,6.9568e-06,1.17755e+09,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,13,8192,6.9696e-06,1.17539e+09,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,14,16384,0.00220948,7.4153e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,14,16384,7.0656e-06,2.31884e+09,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,14,16384,6.9312e-06,2.3638e+09,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,14,16384,7.1584e-06,2.28878e+09,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,15,32768,0.0044629,7.34231e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,15,32768,7.2704e-06,4.50704e+09,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,15,32768,7.552e-06,4.33898e+09,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,15,32768,7.2608e-06,4.513e+09,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,16,65536,0.00899976,7.28197e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,16,65536,1.064e-05,6.1594e+09,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,16,65536,1.0336e-05,6.34056e+09,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,16,65536,1.07488e-05,6.09705e+09,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,17,131072,0.0177139,7.3994e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,17,131072,1.47456e-05,8.88889e+09,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,17,131072,1.49376e-05,8.77464e+09,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,17,131072,1.52544e-05,8.59241e+09,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,18,262144,0.035423,7.40039e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,18,262144,2.32224e-05,1.12884e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,18,262144,2.31168e-05,1.134e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,18,262144,2.3728e-05,1.10479e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,19,524288,0.0706892,7.4168e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,19,524288,4.13664e-05,1.26742e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,19,524288,4.14336e-05,1.26537e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,19,524288,4.14304e-05,1.26547e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,20,1048576,0.140069,7.48612e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,20,1048576,7.8336e-05,1.33856e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,20,1048576,7.83072e-05,1.33905e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,20,1048576,8.14912e-05,1.28674e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,21,2097152,0.280916,7.46539e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,21,2097152,0.000152269,1.37727e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,21,2097152,0.000152154,1.37831e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,21,2097152,0.000156778,1.33766e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,22,4194304,0.562754,7.45317e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,22,4194304,0.000299293,1.40141e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,22,4194304,0.000299302,1.40136e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,22,4194304,0.000309238,1.35633e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,23,8388608,1.11861,7.49912e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,23,8388608,0.000593603,1.41317e+10,0xa55a12343fffffff
simon32_64,gpu,gpu1_optimized,23,8388608,0.000593782,1.41274e+10,0xa55a12343fffffff
simon32_64,gpu,gpu2_optimized+ilp,23,8388608,0.000613786,1.3667e+10,0xa55a12343fffffff
simon32_64,cpu,cpu_baseline,24,16777216,2.23757,7.49797e+06,0xa55a12343fffffff
simon32_64,gpu,gpu0_baseline,24,16777216,0.00118247,1.41883e+10,0xa55a12343fffffff
